Date,Open,High,Low,Close,Adj Close,Volume
2015-07-21,2127.550049,2128.489990,2115.399902,2119.209961,2119.209961,3343690000
2015-07-22,2118.209961,2118.510010,2110.000000,2114.149902,2114.149902,3694070000
2015-07-23,2114.159912,2116.870117,2098.629883,2102.149902,2102.149902,3772810000
2015-07-24,2102.239990,2106.010010,2077.090088,2079.649902,2079.649902,3870040000
2015-07-27,2078.189941,2078.189941,2063.520020,2067.639893,2067.639893,3836750000
2015-07-28,2070.750000,2095.600098,2069.090088,2093.250000,2093.250000,4117740000
2015-07-29,2094.699951,2110.600098,2094.080078,2108.570068,2108.570068,4038900000
2015-07-30,2106.780029,2110.479980,2094.969971,2108.629883,2108.629883,3579410000
2015-07-31,2111.600098,2114.239990,2102.070068,2103.840088,2103.840088,3681340000
2015-08-03,2104.489990,2105.699951,2087.310059,2098.040039,2098.040039,3476770000
2015-08-04,2097.679932,2102.510010,2088.600098,2093.320068,2093.320068,3546710000
2015-08-05,2095.270020,2112.659912,2095.270020,2099.840088,2099.840088,3968680000
2015-08-06,2100.750000,2103.320068,2075.530029,2083.560059,2083.560059,4246570000
2015-08-07,2082.610107,2082.610107,2067.909912,2077.570068,2077.570068,3602320000
2015-08-10,2080.979980,2105.350098,2080.979980,2104.179932,2104.179932,3514460000
2015-08-11,2102.659912,2102.659912,2076.489990,2084.070068,2084.070068,3708880000
2015-08-12,2081.100098,2089.060059,2052.090088,2086.050049,2086.050049,4269130000
2015-08-13,2086.189941,2092.929932,2078.260010,2083.389893,2083.389893,3221300000
2015-08-14,2083.149902,2092.449951,2080.610107,2091.540039,2091.540039,2795590000
2015-08-17,2089.699951,2102.870117,2079.300049,2102.439941,2102.439941,2867690000
2015-08-18,2101.989990,2103.469971,2094.139893,2096.919922,2096.919922,2949990000
2015-08-19,2095.689941,2096.169922,2070.530029,2079.610107,2079.610107,3512920000
2015-08-20,2076.610107,2076.610107,2035.729980,2035.729980,2035.729980,3922470000
2015-08-21,2034.079956,2034.079956,1970.890015,1970.890015,1970.890015,5018240000
2015-08-24,1965.150024,1965.150024,1867.010010,1893.209961,1893.209961,6612690000
2015-08-25,1898.079956,1948.040039,1867.079956,1867.609985,1867.609985,5183560000
2015-08-26,1872.750000,1943.089966,1872.750000,1940.510010,1940.510010,5338250000
2015-08-27,1942.770020,1989.599976,1942.770020,1987.660034,1987.660034,5006390000
2015-08-28,1986.060059,1993.479980,1975.189941,1988.869995,1988.869995,3949080000
2015-08-31,1986.729980,1986.729980,1965.979980,1972.180054,1972.180054,3915100000
2015-09-01,1970.089966,1970.089966,1903.069946,1913.849976,1913.849976,4371850000
2015-09-02,1916.520020,1948.910034,1916.520020,1948.859985,1948.859985,3742620000
2015-09-03,1950.790039,1975.010010,1944.719971,1951.130005,1951.130005,3520700000
2015-09-04,1947.760010,1947.760010,1911.209961,1921.219971,1921.219971,3167090000
2015-09-08,1927.300049,1970.420044,1927.300049,1969.410034,1969.410034,3548650000
2015-09-09,1971.449951,1988.630005,1937.880005,1942.040039,1942.040039,3652120000
2015-09-10,1941.589966,1965.290039,1937.189941,1952.290039,1952.290039,3626320000
2015-09-11,1951.449951,1961.050049,1939.189941,1961.050049,1961.050049,3218590000
2015-09-14,1963.060059,1963.060059,1948.270020,1953.030029,1953.030029,3000200000
2015-09-15,1955.099976,1983.189941,1954.300049,1978.089966,1978.089966,3239860000
2015-09-16,1978.020020,1997.260010,1977.930054,1995.310059,1995.310059,3630680000
2015-09-17,1995.329956,2020.859985,1986.729980,1990.199951,1990.199951,4183790000
2015-09-18,1989.660034,1989.660034,1953.449951,1958.030029,1958.030029,6021240000
2015-09-21,1960.839966,1979.640015,1955.800049,1966.969971,1966.969971,3269350000
2015-09-22,1961.390015,1961.390015,1929.219971,1942.739990,1942.739990,3808260000
2015-09-23,1943.239990,1949.520020,1932.569946,1938.760010,1938.760010,3190530000
2015-09-24,1934.810059,1937.170044,1908.920044,1932.239990,1932.239990,4091530000
2015-09-25,1935.930054,1952.890015,1921.500000,1931.339966,1931.339966,3721870000
2015-09-28,1929.180054,1929.180054,1879.209961,1881.770020,1881.770020,4326660000
2015-09-29,1881.900024,1899.479980,1871.910034,1884.089966,1884.089966,4132390000
2015-09-30,1887.140015,1920.530029,1887.140015,1920.030029,1920.030029,4525070000
2015-10-01,1919.650024,1927.209961,1900.699951,1923.819946,1923.819946,3983600000
2015-10-02,1921.770020,1951.359985,1893.699951,1951.359985,1951.359985,4378570000
2015-10-05,1954.329956,1989.170044,1954.329956,1987.050049,1987.050049,4334490000
